INFO:root:Epoch 0: Train Loss = 0.7334581419825554, Test Loss = 1.4884255826473236, Time = 0.33s
INFO:root:Epoch 1: Train Loss = 0.7328786892816425, Test Loss = 1.4872057437896729, Time = 0.20s
INFO:root:Epoch 2: Train Loss = 0.7328071460127831, Test Loss = 1.4863726496696472, Time = 0.20s
INFO:root:Epoch 3: Train Loss = 0.7324007069692016, Test Loss = 1.4842953383922577, Time = 0.20s
INFO:root:Epoch 4: Train Loss = 0.7258912172168493, Test Loss = 1.4558359384536743, Time = 0.20s
INFO:root:Epoch 5: Train Loss = 0.63439182639122, Test Loss = 1.1915901899337769, Time = 0.20s
INFO:root:Epoch 6: Train Loss = 0.34750027023255825, Test Loss = 0.7751357555389404, Time = 0.19s
INFO:root:Epoch 7: Train Loss = 0.2916532184928656, Test Loss = 0.9289976954460144, Time = 0.20s
INFO:root:Epoch 8: Train Loss = 0.22673672139644624, Test Loss = 0.5536851286888123, Time = 0.20s
INFO:root:Epoch 9: Train Loss = 0.20682665556669236, Test Loss = 0.39393095672130585, Time = 0.20s
INFO:root:Epoch 10: Train Loss = 0.16047438532114028, Test Loss = 0.35570448637008667, Time = 0.20s
INFO:root:Epoch 11: Train Loss = 0.1278263721615076, Test Loss = 0.30744610726833344, Time = 0.20s
INFO:root:Epoch 12: Train Loss = 0.13412639051675795, Test Loss = 0.3117140382528305, Time = 0.20s
INFO:root:Epoch 13: Train Loss = 0.15059654638171197, Test Loss = 0.3168359845876694, Time = 0.20s
INFO:root:Epoch 14: Train Loss = 0.18333814665675163, Test Loss = 0.2811201736330986, Time = 0.20s
INFO:root:Epoch 15: Train Loss = 0.13365835770964624, Test Loss = 0.39262959361076355, Time = 0.20s
INFO:root:Epoch 16: Train Loss = 0.09397471882402897, Test Loss = 0.30818936228752136, Time = 0.20s
INFO:root:Epoch 17: Train Loss = 0.10539986751973629, Test Loss = 0.30480553209781647, Time = 0.20s
INFO:root:Epoch 18: Train Loss = 0.09111316576600074, Test Loss = 0.3462590426206589, Time = 0.20s
INFO:root:Epoch 19: Train Loss = 0.08006589859724045, Test Loss = 0.2857615500688553, Time = 0.20s
INFO:root:Epoch 20: Train Loss = 0.08991940021514892, Test Loss = 0.26816917955875397, Time = 0.20s
INFO:root:Epoch 21: Train Loss = 0.08165132887661457, Test Loss = 0.2769555449485779, Time = 0.20s
INFO:root:Epoch 22: Train Loss = 0.07655889950692654, Test Loss = 0.27561667561531067, Time = 0.20s
INFO:root:Epoch 23: Train Loss = 0.0773046463727951, Test Loss = 0.269333615899086, Time = 0.20s
INFO:root:Epoch 24: Train Loss = 0.075057427957654, Test Loss = 0.26244860887527466, Time = 0.20s
INFO:root:Epoch 25: Train Loss = 0.07909805923700333, Test Loss = 0.26103559881448746, Time = 0.20s
INFO:root:Epoch 26: Train Loss = 0.08392500057816506, Test Loss = 0.2776523530483246, Time = 0.20s
INFO:root:Epoch 27: Train Loss = 0.07843878529965878, Test Loss = 0.2751690745353699, Time = 0.20s
INFO:root:Epoch 28: Train Loss = 0.07770114913582801, Test Loss = 0.2708432972431183, Time = 0.20s
INFO:root:Epoch 29: Train Loss = 0.07946311831474304, Test Loss = 0.2626931965351105, Time = 0.20s
INFO:root:Epoch 30: Train Loss = 0.0852241177111864, Test Loss = 0.2655788064002991, Time = 0.20s
INFO:root:Epoch 31: Train Loss = 0.08702800311148166, Test Loss = 0.2599830627441406, Time = 0.20s
INFO:root:Epoch 32: Train Loss = 0.08061042949557304, Test Loss = 0.2727866470813751, Time = 0.20s
INFO:root:Epoch 33: Train Loss = 0.1102427989244461, Test Loss = 0.2778037190437317, Time = 0.20s
INFO:root:Epoch 34: Train Loss = 0.12914193756878375, Test Loss = 0.3160126358270645, Time = 0.20s
INFO:root:Epoch 35: Train Loss = 0.11833262480795384, Test Loss = 0.29402511566877365, Time = 0.20s
INFO:root:Epoch 36: Train Loss = 0.07990942373871804, Test Loss = 0.2825315296649933, Time = 0.20s
INFO:root:Epoch 37: Train Loss = 0.07873749546706676, Test Loss = 0.321420282125473, Time = 0.20s
INFO:root:Epoch 38: Train Loss = 0.07501142397522927, Test Loss = 0.30793797969818115, Time = 0.20s
INFO:root:Epoch 39: Train Loss = 0.07803080417215824, Test Loss = 0.27892744541168213, Time = 0.20s
INFO:root:Epoch 40: Train Loss = 0.07936864010989667, Test Loss = 0.26668284833431244, Time = 0.20s
INFO:root:Epoch 41: Train Loss = 0.06819166615605354, Test Loss = 0.26691120862960815, Time = 0.20s
INFO:root:Epoch 42: Train Loss = 0.07261480242013932, Test Loss = 0.2731848806142807, Time = 0.20s
INFO:root:Epoch 43: Train Loss = 0.06811679787933826, Test Loss = 0.2656366229057312, Time = 0.20s
INFO:root:Epoch 44: Train Loss = 0.07018949687480927, Test Loss = 0.25980357825756073, Time = 0.21s
INFO:root:Epoch 45: Train Loss = 0.06922815404832364, Test Loss = 0.25647472590208054, Time = 0.20s
INFO:root:Epoch 46: Train Loss = 0.06974417045712471, Test Loss = 0.2557724043726921, Time = 0.20s
INFO:root:Epoch 47: Train Loss = 0.06885201074182987, Test Loss = 0.25810104608535767, Time = 0.20s
INFO:root:Epoch 48: Train Loss = 0.06550404876470566, Test Loss = 0.25471432507038116, Time = 0.20s
INFO:root:Epoch 49: Train Loss = 0.06716782599687576, Test Loss = 0.26084528863430023, Time = 0.21s
INFO:root:Epoch 50: Train Loss = 0.06295717097818851, Test Loss = 0.2582739591598511, Time = 0.20s
INFO:root:Epoch 51: Train Loss = 0.06668689250946044, Test Loss = 0.25568562746047974, Time = 0.21s
INFO:root:Epoch 52: Train Loss = 0.06922857910394668, Test Loss = 0.25092215836048126, Time = 0.20s
INFO:root:Epoch 53: Train Loss = 0.06598834469914436, Test Loss = 0.25256118178367615, Time = 0.20s
INFO:root:Epoch 54: Train Loss = 0.06455795504152775, Test Loss = 0.2503999099135399, Time = 0.20s
INFO:root:Epoch 55: Train Loss = 0.0631696455180645, Test Loss = 0.25453005731105804, Time = 0.20s
INFO:root:Epoch 56: Train Loss = 0.06317907683551312, Test Loss = 0.25519508123397827, Time = 0.20s
INFO:root:Epoch 57: Train Loss = 0.06543024480342866, Test Loss = 0.25031639635562897, Time = 0.20s
INFO:root:Epoch 58: Train Loss = 0.06533316597342491, Test Loss = 0.24876578152179718, Time = 0.20s
INFO:root:Epoch 59: Train Loss = 0.06425122134387493, Test Loss = 0.24994467198848724, Time = 0.20s
INFO:root:Epoch 60: Train Loss = 0.06640533208847046, Test Loss = 0.24803277850151062, Time = 0.20s
INFO:root:Epoch 61: Train Loss = 0.06479476913809776, Test Loss = 0.24908505380153656, Time = 0.20s
INFO:root:Epoch 62: Train Loss = 0.06710395663976669, Test Loss = 0.24824875593185425, Time = 0.20s
INFO:root:Epoch 63: Train Loss = 0.062191279232501985, Test Loss = 0.24702683091163635, Time = 0.20s
INFO:root:Epoch 64: Train Loss = 0.06173855811357498, Test Loss = 0.25014153122901917, Time = 0.20s
